,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nutrient Value of Some Common Foods, 2008 edition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEAT AND POULTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin D,Vitamin B12,Folate ,Vitamin E,,,,,,,,,,,,,,,,
,,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,RAE,µg,µg,DFE,mg,,,,,,,,,,,,,,,,
"Deli meat, mock chicken, loaved",2 slices,56,147,616,7,2,12,7.4,,1.7,33,,536,129,,,0,0.4,,,0.1,,,,,,,,,,,,,,,,
"Deli meat, turkey breast",2 slices,56,63,262,8,4,2,0.1,0.3,0.2,31,1.2,672,195,11,88,0,0,0.12,2,0.1,,,,,,,,,,,,,,,,
"Ham, extra lean, canned",2 slices,56,62,260,9,tr,2,0.8,1.2,0.2,21,0.5,638,151,10,125,0,0.1,0.46,3,0.1,,,,,,,,,,,,,,,,
"Ham, flaked, canned",60mL,35,48,199,6,tr,3,0.9,1.3,0.3,16,0.3,367,87,5,49,0,0.1,0.24,tr,0.1,,,,,,,,,,,,,,,,
"Ham, lean and regular, roasted",75g,75,124,518,16,tr,6,2.0,2.8,0.8,43,1.1,1039,272,14,186,0,0.2,0.51,2,0.2,,,,,,,,,,,,,,,,
"Ham, lean, canned",2 slices,56,81,337,10,0,4,1.4,2.0,0.4,21,0.5,715,187,9,116,0,0.2,0.45,3,0.1,,,,,,,,,,,,,,,,
"Ham, whole, lean, roasted",75g,75,118,493,19,1,4,1.4,1.9,0.5,41,0.7,995,237,17,170,0,0.2,0.53,3,0.2,,,,,,,,,,,,,,,,
"Kielbasa (Kolbassa), pork and beef",1 piece,56,124,517,9,2,9,3.1,4.1,1.0,38,0.8,520,155,9,83,0,0,0.90,3,0.1,,,,,,,,,,,,,,,,
"Liver sausage (liverwurst), pork",30mL,27,93,388,4,1,8,3.0,3.8,0.7,43,1.7,191,41,3,62,2248,0.2,3.64,8,0.1,,,,,,,,,,,,,,,,
"Pastrami, beef",2 slices,56,74,309,10,1,3,1.3,1.8,0.1,52,1.1,694,121,10,84,0,0.2,0.99,4,,,,,,,,,,,,,,,,,
"Pate, liver, canned",30mL,26,84,352,4,tr,7,2.5,3.3,0.8,67,1.4,184,36,3,53,261,0.2,0.84,16,,,,,,,,,,,,,,,,,
"Pepperoni, pork, beef",10 slices,55,252,1053,11,2,22,8.7,10.3,1.4,64,0.8,966,170,10,95,0,0,0.85,3,tr,,,,,,,,,,,,,,,,
"Salami, beef and pork",2 slices,46,118,495,6,2,9,3.7,4.2,0.9,30,1.2,490,105,7,53,0,0.2,1.68,1,0.1,,,,,,,,,,,,,,,,
"Salami, pork and beef, dry or hard",5 slices,50,185,774,12,1,15,5.1,7.2,1.4,40,0.8,900,194,9,71,0,0.4,0.95,1,0.1,,,,,,,,,,,,,,,,
"Salami, pork and beef, reduced salt",2 slices,46,182,762,7,7,14,4.9,6.1,1.4,41,0.7,287,631,14,125,tr,0.4,0.81,4,0.1,,,,,,,,,,,,,,,,
"Sausage, Bratwurst, pork, cooked",1,75,184,769,11,2,14,5.2,6.8,1.5,45,1.0,418,159,11,112,0,1,0.71,2,0,,,,,,,,,,,,,,,,
"Sausage, Italian, pork, cooked",1,75,258,1079,14,3,20,7.2,9.0,2.5,43,1.1,905,228,14,128,8,1,0.98,4,0.2,,,,,,,,,,,,,,,,
"Sausage, pork and beef, cooked",1,13,51,215,2,tr,5,1.7,2.2,0.5,9,0.1,105,25,2,14,0,0.1,0.06,tr,tr,,,,,,,,,,,,,,,,
"Sausage, pork, cooked",1,13,35,145,2,tr,3,0.9,1.2,0.3,11,0.2,102,28,2,24,2,0.1,0.22,tr,0.1,,,,,,,,,,,,,,,,
"Sausage, turkey, cooked",1,13,31,128,2,tr,2,1.0,0.7,0.4,8,0,76,26,3,24,0,tr,0.06,1,tr,,,,,,,,,,,,,,,,
"Summer sausage, beef",2 slices,56,188,785,9,tr,17,6.7,7.3,0.7,42,1.4,696,152,8,62,0,0.5,3.08,1,,,,,,,,,,,,,,,,,
"Turkey, canned, flaked",60mL,34,50,207,6,tr,3,0.8,0.9,0.7,23,0.6,229,92,7,55,0,0.2,0.10,2,,,,,,,,,,,,,,,,,
"Vienna sausage (cocktail), beef and pork, canned",3,48,110,462,5,1,9,3.4,4.6,0.6,42,0.4,465,48,3,24,0,0.4,0.49,2,0.1,,,,,,,,,,,,,,,,
