Nutrient Value of Some Common Foods - 2008 Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAIRY FOODS AND OTHER RELATED PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin D,Folate ,Vitamin B12,Riboflavin,,,,,,,,,,,,,,,,,,
,,g,kcal,kJ,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,µg,DFE,µg,mg,,,,,,,,,,,,,,,,,,
MILK AND SUBSTITUTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUDDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All flavours, instant, from mix, prepared with 2% milk",125mL,139,149,623,4,27,23,3,1.6,9,141,0.2,391,206,18,307,65,1.3,6,0.54,0.23,,,,,,,,,,,,,,,,,,
"Chocolate, ready-to-eat",1 container,99,138,575,3,23,18,4,0.7,3,89,0.5,128,178,21,79,10,,3,0,0.15,,,,,,,,,,,,,,,,,,
"Chocolate, ready-to-eat, fat-free",1 container,99,96,402,3,20,15,tr,0.2,1,72,0.8,168,139,19,75,47,,4,0.22,0.15,,,,,,,,,,,,,,,,,,
"Rice, homemade",125mL,119,160,669,4,32,19,2,1.2,7,115,0.3,55,211,18,112,51,1.0,5,0.24,0.19,,,,,,,,,,,,,,,,,,
"Rice, ready-to-eat",1 container,99,161,675,2,22,,7,1.2,1,51,0.3,84,59,8,67,25,0.1,3,0.21,0.07,,,,,,,,,,,,,,,,,,
"Tapioca, ready-to-eat",1 container,99,118,493,2,19,18,4,0.6,1,83,0.2,157,95,8,78,0,,3,0.21,0.10,,,,,,,,,,,,,,,,,,
"Tapioca, ready-to-eat, fat-free",1 container,99,88,368,2,20,16,tr,0,1,50,0.3,210,52,5,40,32,,2,0.15,0.10,,,,,,,,,,,,,,,,,,
"Vanilla, ready-to-eat",1 container,99,128,534,2,22,20,4,0.6,7,87,0.1,134,112,8,67,6,,0,0.10,0.14,,,,,,,,,,,,,,,,,,
"Vanilla, ready-to-eat, fat-free",1 container,99,92,385,2,22,16,tr,tr,1,59,0.4,211,71,7,49,40,,3,0.19,0.12,,,,,,,,,,,,,,,,,,
