,,,,,,,,,,,,,,,,,,,,,,,
"Nutrient Value of Some Common Foods, 2008 Edition",,,,,,,,,,,,,,,,,,,,,,,
SWEETS AND SUGARS,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin C,Vitamin B12,Caffeine,,
,,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,mg,µg,mg,,
"SUGAR, HONEY AND SUBSTITUTIONS",,,,,,,,,,,,,,,,,,,,,,,
"Milk chocolate, bars or chips",1 bar,50,268,1119,4,30,26,1.7,15,7.1,12,95,1.2,40,186,32,104,25,0,0.31,10,,
Peanut butter cups (Reese'sTM),3 cups,51,263,1099,5,28,24,1.8,16,5.5,3,40,0.6,160,175,32,82,9,tr,0.29,9,,
"Peanuts, chocolate covered",10,40,208,868,5,20,15,1.9,13,5.8,4,42,0.5,16,201,38,85,14,0,0.18,9,,
"Raisins, chocolate covered (GlosetteTM)",10 pieces,10,39,163,tr,7,6,0.4,1,0.9,tr,9,0.2,4,51,5,14,2,tr,0.02,3,,
"Toffee, chocolate covered (SkorTM)",1 bar,39,209,872,1,24,23,0.5,13,7.3,21,51,0.2,124,60,4,24,60,tr,,,,
FROZEN DESSERTS,,,,,,,,,,,,,,,,,,,,,,,
Chocolate ice milk bar (FudgesicleTM),1,51,65,271,3,14,10,0.9,tr,0.2,2,81,0.5,48,,,,,1,,,,
"Frozen yogourt, chocolate",125mL,91,116,484,3,20,20,1.2,3,2.1,12,91,0.4,57,213,23,81,36,6,0.06,3,,
"Frozen yogourt, vanilla, soft serve",125mL,76,124,519,3,18,18,0,4,2.6,2,109,0.2,66,161,11,98,45,1,0.22,0,,
Fruit and juice bar,1,77,63,264,1,16,13,0.8,tr,0,0,4,0.1,3,41,3,5,1,7,0,0,,
"Ice cream cone, vanilla, chocolate covered, with nuts",1,78,222,928,5,23,16,1.9,14,5.4,25,105,0.8,54,208,42,117,68,tr,0.23,4,,
"Ice cream cone, vanilla, soft serve",1,150,266,1110,7,43,32,0.6,7,4.3,39,232,0.5,116,305,22,154,90,2,0.67,0,,
Ice cream sandwich,1,59,143,598,3,22,14,0.9,6,3.2,20,60,0.6,36,122,13,63,53,tr,0.18,1,,
"Ice cream, chocolate",125mL,70,151,630,3,20,18,0.8,8,4.7,24,76,0.6,53,174,20,75,82,tr,0.20,2,,
"Ice cream, dairy free",125mL,87,237,990,4,21,tr,0.8,16,2.0,0,36,1.2,216,64,19,59,tr,tr,0,0,,
"Ice cream, strawberry",125mL,70,134,560,2,19,,0.6,6,3.6,20,84,0.1,42,131,10,70,67,5,0.21,0,,
"Ice cream, vanilla, low fat",125mL,93,117,490,5,20,10,0,2,1.5,11,146,0.1,65,205,13,113,27,1,0.46,0,,
"Ice cream, vanilla, low fat, aspartame sweetened",125mL,69,106,445,3,15,4,0.5,5,2.8,19,93,0.1,66,135,6,52,1,1,0.36,0,,
"Ice cream, vanilla, premium",125mL,113,282,1177,4,25,23,0,18,11.7,104,132,0.4,69,178,12,119,206,0,0.44,0,,
"Ice cream, vanilla, regular",125mL,76,153,640,3,18,16,0.5,8,5.2,33,97,0.1,61,151,11,80,90,tr,0.30,0,,
Popsicles,1,75,54,226,0,14,10,0,0,0,0,0,0,9,3,1,0,0,0,0,0,,
"Sherbet, orange",125mL,78,113,471,1,24,19,2.6,2,0.9,0,42,0.1,36,75,6,31,8,5,0.09,0,,
"Soft serve ice cream with OreoTM cookies (BlizzardTM, McFlurryTM)",1 small,275,575,2404,13,89,68,1.9,20,10.5,63,386,4.7,368,564,52,279,148,3,1.12,5,,
OTHER DESSERTS,,,,,,,,,,,,,,,,,,,,,,,
"Chocolate mousse, homemade",125mL,213,480,2008,9,34,32,1.3,34,19.5,299,205,1.2,81,305,43,250,299,tr,1.00,15,,
"Gelatin dessert, calorie-reduced, prepared (JelloTM)",125mL,124,25,104,1,5,0,0,0,0,0,4,tr,59,1,1,84,0,0,0,0,,
"Gelatin dessert, prepared (JelloTM)",125mL,143,88,369,2,20,19,0,0,0,0,4,tr,107,1,1,31,0,0,0,0,,
