,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Boston Pizza,Crispy Chicken Pecan,1150,93,1,1530,32,12
,,Boston Pizza,Scallop & Prawn Fettuccini,1150,49,0,1860,138,11
,,Boston Pizza,Fettuccini Carbonara,1150,42,1,2540,147,12
,,Boston Pizza,Boston Cheesesteak,1140,49,1,3900,113,4
,,Boston Pizza,Twist Bread Full Order,1140,39,0,2810,165,13
,,Boston Pizza,Nachos,1130,67,2,1970,91,4
,,Boston Pizza,BP's Prime Rib Burger With Cheddar & Bacon,1120,82,3,2230,47,8
,,Boston Pizza,Tuscan Linguini,1060,29,0,2690,170,39
,,Boston Pizza,BP's Prime Rib Burger With Cheddar,1050,77,3,2080,47,8
,,Boston Pizza,Cajun Shrimp Individual pizza,1050,56,1,2070,90,5
,,Boston Pizza,Greek Salad Regular,1040,105,1,1960,25,12
,,Boston Pizza,Breaded Wings Double Order,1020,65,0,3010,40,8
,,Boston Pizza,BP's Prime Rib Burger With Bacon,1000,73,2,2000,47,8
,,Boston Pizza,Baked Shrimp and Feta Penne,1000,40,1,2050,110,12
,,Boston Pizza,Cajun Rice Bowl,980,41,0,1830,98,10
,,Boston Pizza,Great White North Individual pizza,970,39,1,2740,92,11
,,Boston Pizza,Oven-Roasted Chicken Quesadilla,960,47,1,1630,92,6
,,Boston Pizza,The Meateor Individual pizza,960,39,1,2530,91,7
,,Boston Pizza,Bandera Pizza Bread,950,53,1,1820,87,8
,,Boston Pizza,BP's Prime Rib Burger The Original Burger,940,68,2,1860,47,8
,,Boston Pizza,Homestyle Lasagna,930,48,1,2280,68,14
,,Boston Pizza,Tuscan Individual pizza,930,36,1,1620,106,16
,,Boston Pizza,Spicy Perogy Individual pizza,920,42,1,1010,93,5
,,Boston Pizza,Bacon Double Cheeseburger Individual pizza,920,39,1,1830,94,13
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Burger King,Triple Whopper Sandwich with cheese,1240,83,3,1470,49,11
,,Burger King,Triple Whopper Sandwich,1150,76,3,1060,48,11
,,Burger King,BK Stacker Quad,1020,69,2.5,1770,36,8
,,Burger King,Double Whopper Sandwich with cheese,1000,65,2.5,1390,49,11
,,Burger King,Double Whopper Sandwich,910,58,2,980,48,11
,,Burger King,BK Stacker Triple,830,54,2,1430,35,7
,,Burger King,Steakhouse Burger,830,53,2,1790,43,10
,,Burger King,Whopper Sandwich with cheese,760,47,1.5,1320,49,11
,,Burger King,Poutine (fries, cheese curds, gravy),740,41,1.5,2500,73,2
,,Burger King,Enormous Omelette Sandwich,700,43,0.5,1910,44,7
,,Burger King,Original Chicken Sandwich,680,43,0.4,1430,49,4
,,Burger King,Double Croissan'Wich w/Sausage, Egg & Cheese,670,49,0.5,1600,29,5
,,Burger King,Whopper Sandwich,670,40,1,910,48,11
,,Burger King,Tendercrisp Chicken Sandwich (with Mayo),640,36,0.3,1420,51,6
,,Burger King,BK Stacker Double,630,39,1.5,1090,34,7
,,Burger King,Cini Minis with Vanilla Icing,610,19,0.3,455,100,60
,,Burger King,Bacon Double Cheeseburger,580,33,1.5,1170,34,7
,,Burger King,Hash Browns–Large,570,38,0.5,840,54,0
,,Burger King,Double Whopper Jr. with cheese,550,34,1,630,31,4
,,Burger King,Tendergrill BLT Salad with Balsamic Vinaigrette,540,39,0.4,1490,18,7
,,Burger King,King Supreme,540,31,1,790,34,7
,,Burger King,BK Chicken Fries 12 pc.,530,33,0.2,1870,33,0
,,Burger King,Fries with gravy,530,25,0.5,2090,71,1
,,Burger King,Double Cheeseburger,520,29,1,980,34,7
,,Burger King,Cini Minis (4),520,19,0.3,430,78,40
,,Burger King,Double Whopper Jr.,510,30,1,430,31,4
,,Burger King,Spicy Chick’N Crisp Sandwich,500,31,0.2,910,40,4
,,Burger King,BK Big Fish Sandwich,500,26,0.3,860,49,5
,,Burger King,Croissan'Wich w/Sausage, Egg & Cheese,460,30,0.5,1040,27,5
,,Burger King,Tendergrill Caesar Salad with Balsamic Vinaigrette,450,32,0.2,835,12,6
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Church's Chicken,Sweet Tea - Gallon,920,0,0,60,240,150
,,Church's Chicken,Livers (6),840,42,0,1200,54,0
,,Church's Chicken,Double Chicken N Cheese Sandwich,740,38,3,2570,63,5
,,Church's Chicken,Fanta Apple - Large,600,0,0,200,165,165
,,Church's Chicken,Chicken Sandwich with Cheese,500,26,1.5,1460,48,5
,,Church's Chicken,Strawberry Shortcake,500,14,2,790,95,71
,,Church's Chicken,Spicy Thigh,480,35,5,1040,20,0
,,Church's Chicken,Chicken Fried Steak,470,28,2,1620,36,4
,,Church's Chicken,Sweet Tea - Half Gallon,460,0,0,30,120,75
,,Church's Chicken,Spicy Wing,430,27,4,1020,17,0
,,Church's Chicken,Fanta Apple - Medium,430,0,0,140,118,118
,,Church's Chicken,Sprite - Large,390,0,0,105,98,98
,,Church's Chicken,Coke - Large,390,0,0,20,102,102
,,Church's Chicken,Original Chicken Sandwich,360,18,1.5,660,35,5
,,Church's Chicken,Spicy Chicken Sandwich,360,18,1.5,660,35,3
,,Church's Chicken,Original Thigh,330,23,3,680,8,0
,,Church's Chicken,Spicy Breast,320,20,4,760,12,0
,,Church's Chicken,Fanta Apple - Small,320,0,0,100,86,86
,,Church's Chicken,Okra,300,19,0.5,500,31,3
,,Church's Chicken,Original Wing,300,18,2.5,540,7,0
,,Church's Chicken,Sweet Tea - Large,300,0,0,20,80,50
,,Church's Chicken,Shrimp (8),280,12,1,830,24,1
,,Church's Chicken,French Fries (Reg.),280,12,1.5,320,40,0
,,Church's Chicken,Sprite - Medium,280,0,0,75,70,70
,,Church's Chicken,Hi-C Strawberry - Large,280,0,0,18,102,102
,,Church's Chicken,Coke - Medium,280,0,0,10,73,73
,,Church's Chicken,Sweet Corn Nuggets (8),250,12,1,530,30,6
,,Church's Chicken,Honey-Butter Biscuit,240,12,3,540,28,4
,,Church's Chicken,Chicken Mini,230,16,1,700,44,1
,,Church's Chicken,Sweet Tea - 32 oz.,230,0,0,15,60,38
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Cobs Bread,Almond and Custard Scroll,520,20,0.2,590,76,30
,,Cobs Bread,Chocolate Croissant,490,25,0.1,390,64,27
,,Cobs Bread,Cinnamon Bun,480,15,0.2,550,78,37
,,Cobs Bread,Supreme Focaccia (1 piece),290,6,0,870,47,3
,,Cobs Bread,Spinach and Feta Danish,260,13,0.3,400,28,4
,,Cobs Bread,Cape Seed Loaf (2 slices),260,12,0,250,29,3
,,Cobs Bread,Cheese and Bacon Roll,260,8,0.1,800,35,0
,,Cobs Bread,Whole Wheat Cheese and Bacon Roll,260,8,0.1,790,33,1
,,Cobs Bread,Cheese and Bacon Pullapart (1 piece),260,6,0.1,700,43,0
,,Cobs Bread,Spinach, Feta and Pesto Scone,250,11,0.2,720,31,4
,,Cobs Bread,Pumpkin Seed Farmers Loaf (2 slices),240,8,0,320,31,4
,,Cobs Bread,Ham and Cheese Croissant,230,11,0.2,340,28,4
,,Cobs Bread,Cheese and Olive Roll,230,6,0,680,36,1
