"MENU ITEMS","Serving Size (g)","Calories (kcal)","Total Fat (g)","Saturated Fat (g)","Trans Fat (g)","Cholesterol (mg)","Sodium (mg)","Carbohydrate (g)","Dietary Fibre (g)","Sugars (g)","Protein (g)","Vitamin A (%DV)","Vitamin C (%DV)","Calcium (%DV)","Iron (%DV)","Restaurant"
"Beef Tinga","171","184","10","3","1","46","337","11","3","5","15","47","47","3","3","Arturo's"
"Black Beans","163","182","1","0","0","0","381","34","13","1","11","10","2","6","5","Arturo's"
"Burrito (Beef)","523","656","19","5","1","27","1561","97","19","9","28","144","66","18","64","Arturo's"
"Burrito (Chicken)","523","718","22","5","0","22","1735","104","19","8","28","137","59","18","42","Arturo's"
"Burrito (Pork)","523","650","17","5","0","31","1463","96","19","9","28","118","46","17","34","Arturo's"
"Burrito (Vegetarian)","523","576","13","3","0","2","1367","98","21","9","20","121","63","15","31","Arturo's"
"Burrito Salad Bowl","420","306","6","1","0","2","597","58","14","8","11","121","63","11","21","Arturo's"
"Burrito Salad Bowl (Beef)","420","386","12","3","1","27","791","57","12","8","19","144","66","14","54","Arturo's"
"Burrito Salad Bowl (Chicken)","420","448","15","3","0","22","965","64","12","7","19","137","59","14","32","Arturo's"
"Burrito Salad Bowl (Pork)","420","380","10","3","0","31","693","56","12","8","19","118","46","131","24","Arturo's"
"Calle Trio (Gluten Free - Beef)","510","716","17","3","1","27","806","123","18","10","25","144","66","26","71","Arturo's"
"Calle Trio (Gluten Free - Chicken)","510","778","20","3","0","22","980","130","18","9","25","137","59","26","48","Arturo's"
"Calle Trio (Gluten Free - Pork)","510","710","15","3","0","31","708","122","18","10","25","118","46","25","41","Arturo's"
"Calle Trio (Gluten Free - Veg)","510","636","11","1","0","2","612","124","20","10","17","121","63","23","38","Arturo's"
"Chicken Tinga","234","387","21","4","0","51","868","30","4","6","20","47","48","5","4","Arturo's"
"Guacamole","23","25","2","0","0","0","62","2","1","0","0","25","10","1","0","Arturo's"
"Mexican Rice","169","258","2","0","0","0","546","54","2","1","5","2","5","10","1","Arturo's"
"Pork Rotisserie","162","157","7","3","0","50","161","8","2","4","15","1","10","1","1","Arturo's"
"Salsa Fresca","110","28","1","0","0","0","42","4","1","3","1","19","25","1","0","Arturo's"
"Ham, 6-inch Sandwich","219","280","4","1","0","15","700","47","5","6","15","8","20","6","15","Subway"
"Oven Roasted Chicken, 6-inch Sandwich","226","310","4.5","1.5","0","40","560","47","5","8","21","8","20","4","15","Subway"
"Roast Beef, 6-inch Sandwich","219","290","4.5","1.5","0","20","680","46","5","7","17","8","20","6","20","Subway"
"Subway Club®, 6-inch Sandwich","233","300","4.5","1","0","25","840","47","5","7","18","8","20","6","20","Subway"
"Sweet Onion Chicken Teriyaki, 6-inch Sandwich","269","360","4.5","1","0","40","930","59","5","16","22","10","25","6","15","Subway"
"Turkey Breast, 6-inch Sandwich","219","290","4","1","0","20","760","46","5","7","16","8","20","6","20","Subway"
"Turkey Breast & Ham, 6-inch Sandwich","228","290","4","1","0","20","810","47","5","7","17","8","20","6","20","Subway"
"Veggie Delite®, 6-inch Sandwich","162","230","2.5","0.5","0","0","280","44","5","6","8","8","20","4","15","Subway"
"Ham, Flatbread Sandwich","228","290","6","1.5","0","15","760","45","3","4","15","8","20","10","15","Subway"
"Oven Roasted Chicken, Flatbread Sandwich","235","320","7","1.5","0.2","40","630","45","3","5","21","8","20","10","15","Subway"
"Roast Beef, Flatbread Sandwich","228","300","7","2","0","20","750","44","3","4","16","8","20","10","20","Subway"
"Subway Club®, Flatbread Sandwich","242","310","7","1.5","0","25","910","45","3","4","18","8","20","10","20","Subway"
"Sweet Onion Chicken Teriyaki, Flatbread Sandwich","277","370","7","1.5","0","40","1000","56","3","13","21","10","25","10","15","Subway"
"Turkey Breast, Flatbread Sandwich","228","290","6","1","0","20","830","44","3","4","16","8","20","10","20","Subway"
"Turkey Breast & Ham, Flatbread Sandwich","237","300","6","1.5","0","20","880","45","3","4","17","8","20","10","20","Subway"
"Veggie Delite®, Flatbread Sandwich","171","240","4.5","1","0","0","340","42","3","4","8","8","20","10","15","Subway"
"B.L.T., 6-inch Sandwich","151","300","8","3","0","20","580","43","5","7","15","8","8","4","15","Subway"
"Chicken & Bacon Ranch Melt, 6-inch Sandwich","270","500","23","7","0.4","70","1030","46","5","8","28","8","20","15","15","Subway"
"Chicken Pizziola (with cheese), 6-inch Sandwich","284","440","15","6","0.3","65","1310","49","6","10","28","15","30","15","15","Subway"
"Cold Cut Combo, 6-inch Sandwich","233","430","20","7","0.1","40","890","47","6","7","17","8","20","6","20","Subway"
"Italian B.M.T.®, 6-inch Sandwich","226","410","16","6","0.3","40","1210","47","5","7","19","8","20","6","15","Subway"
"Meatball Marinara, 6-inch Sandwich","301","480","18","7","0.5","30","920","59","8","12","21","25","35","10","25","Subway"
"Pizza Sub (with cheese), 6-inch Sandwich","237","450","20","8","0.5","40","1410","50","6","10","18","15","25","10","20","Subway"
"Spicy Italian, 6-inch Sandwich","221","480","24","9","0.5","50","1490","46","5","8","20","8","20","6","20","Subway"
"Steak & Cheese, 6-inch Sandwich","245","380","10","4","0.4","50","1030","48","5","8","26","8","20","10","25","Subway"
"Subway Melt®, 6-inch Sandwich","248","380","10","4","0.2","40","1160","48","5","8","23","8","20","10","20","Subway"
"Tuna, 6-inch Sandwich","237","480","25","5","0.3","40","580","44","5","7","20","8","20","4","20","Subway"
"Egg Salad, 6-inch Sandwich","254","410","18","4","0.2","235","540","46","5","7","17","15","20","35","20","Subway"
"Ham, Mini Subs","136","180","2.5","0.5","0","5","400","31","3","4","9","6","15","4","10","Subway"
"Roast Beef, Mini Subs","146","190","3","1","0","15","460","31","3","5","11","6","15","4","15","Subway"
"Tuna, Mini Subs","145","280","13","3","0","20","330","29","3","4","12","6","15","4","15","Subway"
"Turkey Breast, Mini Subs","146","190","2.5","0.5","0","15","510","31","3","5","11","6","15","4","10","Subway"
"Barbecue Rib Patty, 6-inch Limited Time Offer/Regional Subs**","240","490","24","8","0","50","760","48","6","9","21","8","20","30","15","Subway"
"Veggie Patty, 6-inch Limited Time Offer/Regional Subs**","247","360","5","1","0","0","770","58","9","10","20","8","20","4","15","Subway"
"Ham, Salads","328","110","2.5","0.5","0","15","490","13","4","4","10","25","45","6","8","Subway"
"Oven Roasted Chicken, Salads","335","120","3","0.5","0","40","370","9","4","4","15","25","50","6","8","Subway"
"Roast Beef, Salads","328","110","3","1","0","20","470","11","4","5","11","25","45","6","10","Subway"
"Subway Club®, Salads","342","120","3","0.5","0","25","630","13","4","5","12","25","45","6","10","Subway"
"Sweet Onion Chicken Teriyaki (includes sweet onion dressing), Salads","399","230","3.5","0.5","0","40","800","33","4","22","16","25","50","6","8","Subway"
"Turkey Breast, Salads","328","110","2.5","0.5","0","20","550","12","4","5","10","25","45","6","10","Subway"
"Turkey Breast & Ham, Salads","338","120","3","0.5","0","20","600","13","4","5","11","25","45","6","10","Subway"
"Veggie Delite®, Salads","271","50","1","0","0","0","65","9","4","4","3","25","45","4","6","Subway"
"Fat Free Italian, Salad Dressings","57","35","0","0","0","0","720","7","0","4","1","0","0","2","0","Subway"
"Ranch, Salad Dressings","57","320","30","6","0.5","30","560","3","0","3","1","0","0","0","0","Subway"
"House Sandwich Sauce, Salad Dressings","57","290","31","3.5","0","0","440","4","0","3","0","0","0","0","0","Subway"
"Bacon, Egg White & Cheese, English Muffin Sandwich (with Egg White)","109","170","4.5","2","0.1","10","560","24","5","1","13","0","0","25","6","Subway"
"B.M.T® Melt, English Muffin Sandwich (with Egg White)","131","220","8","3","0.2","20","830","25","5","1","16","0","0","25","6","Subway"
"Egg White & Cheese, English Muffin Sandwich (with Egg White)","105","150","3","1","0.1","5","480","24","5","1","12","0","0","25","6","Subway"
"Ham, Egg White & Cheese, English Muffin Sandwich (with Egg White)","119","170","3.5","1.5","0.1","10","590","25","5","1","13","0","0","25","6","Subway"
"Mega Melt, English Muffin Sandwich (with Egg White)","137","290","16","6","0.1","30","820","24","5","1","17","0","0","25","8","Subway"
"Sausage, Egg White & Cheese, English Muffin Sandwich (with Egg White)","133","270","15","6","0.1","25","740","24","5","1","15","0","0","25","8","Subway"
"Steak, Egg White & Cheese, English Muffin Sandwich (with Egg White)","122","180","4","1.5","0","15","610","25","5","1","15","0","0","25","8","Subway"
"Sunrise Subway Melt®, English Muffin Sandwich (with Egg White)","154","210","5","2","0.1","20","820","26","5","1","18","2","2","25","8","Subway"
"Bacon, Egg & Cheese, English Muffin Sandwich (with Regular Egg)","109","190","7","2.5","0.1","120","540","24","6","2","13","4","0","20","8","Subway"
"B.M.T® Melt, English Muffin Sandwich (with Regular Egg)","131","240","10","4","0.2","130","800","25","6","2","16","2","0","20","8","Subway"
"Egg & Cheese, English Muffin Sandwich (with Regular Egg)","105","170","5","2","0.1","115","460","24","6","1","12","2","0","20","8","Subway"
"Ham, Egg & Cheese, English Muffin Sandwich (with Regular Egg)","119","190","6","2","0.1","120","560","25","6","1","13","2","0","20","8","Subway"
"Mega Melt, English Muffin Sandwich (with Regular Egg)","137","310","19","7","0.1","140","800","24","6","2","17","4","0","20","10","Subway"
"Sausage, Egg & Cheese, English Muffin Sandwich (with Regular Egg)","133","290","17","7","0.1","135","720","24","6","1","15","4","0","20","10","Subway"
"Steak, Egg & Cheese, English Muffin Sandwich (with Regular Egg)","122","200","6","2.5","0.2","125","590","25","6","2","15","2","0","20","10","Subway"
"Sunrise Subway Melt®, English Muffin Sandwich (with Regular Egg)","154","230","8","3","0.1","130","800","26","6","2","18","4","2","20","10","Subway"
"Bacon, Egg White & Cheese, 3-inch Flatbread Sandwich (with Egg White)","96","190","6","2","0.1","10","560","21","1","1","11","0","0","20","8","Subway"
"B.M.T® Melt, 3-inch Flatbread Sandwich (with Egg White)","117","230","10","3.5","0.2","20","830","22","1","1","13","0","0","20","8","Subway"
"Egg White & Cheese, 3-inch Flatbread Sandwich (with Egg White)","91","170","5","1.5","0.1","5","480","21","1","1","9","0","0","20","8","Subway"
"Ham, Egg White & Cheese, 3-inch Flatbread Sandwich (with Egg White)","106","180","5","2","0.1","10","590","22","1","1","11","0","0","20","8","Subway"
"Mega Melt, 3-inch Flatbread Sandwich (with Egg White)","124","310","18","7","0.1","30","820","22","1","1","15","0","0","20","10","Subway"
"Sausage, Egg White & Cheese, 3-inch Flatbread Sandwich (with Egg White)","120","290","17","6","0.1","25","740","21","1","1","13","0","0","20","10","Subway"
"Steak, Egg White & Cheese, 3-inch Flatbread Sandwich (with Egg White)","108","190","6","2","0.1","15","610","22","1","1","13","0","0","20","10","Subway"
"Sunrise Subway Melt®, 3-inch Flatbread Sandwich (with Egg White)","140","220","7","2.5","0.1","20","820","24","1","2","15","2","2","20","10","Subway"
"Bacon, Egg & Cheese, 3-inch Flatbread Sandwich (with Regular Egg)","96","210","8","3","0.1","120","530","21","1","2","11","2","0","10","10","Subway"
"B.M.T® Melt, 3-inch Flatbread Sandwich (with Regular Egg)","117","250","12","4","0.2","130","800","22","1","2","13","2","0","11","10","Subway"
"Egg & Cheese, 3-inch Flatbread Sandwich (with Regular Egg)","91","190","7","2.5","0.1","115","460","21","1","2","9","2","0","10","10","Subway"
"Ham, Egg & Cheese, 3-inch Flatbread Sandwich (with Regular Egg)","106","200","7","2.5","0.1","120","560","22","1","2","11","2","0","12","10","Subway"
"Mega Melt, 3-inch Flatbread Sandwich (with Regular Egg)","124","330","20","8","0.1","135","790","21","1","2","15","2","0","12","10","Subway"
"Sausage, Egg & Cheese, 3-inch Flatbread Sandwich (with Regular Egg)","120","310","19","7","0.1","135","720","21","1","2","13","2","0","12","10","Subway"
"Steak, Egg & Cheese, 3-inch Flatbread Sandwich (with Regular Egg)","108","210","8","3","0.2","125","590","22","1","2","13","2","0","12","10","Subway"
"Sunrise Subway Melt®, 3-inch Flatbread Sandwich (with Regular Egg)","140","240","9","3","0.1","130","800","25","1","2","16","4","2","12","10","Subway"
"Bacon, Egg White & Cheese, 6-inch Omelet Sandwich (with Egg White)","183","360","10","4","0.2","20","1050","45","4","2","23","0","0","30","15","Subway"
"B.M.T® Melt, 6-inch Omelet Sandwich (with Egg White)","208","450","17","6","0.4","40","1590","47","4","2","27","0","0","60","15","Subway"
"Egg White & Cheese, 6-inch Omelet Sandwich (with Egg White)","174","320","7","3","0.2","10","900","44","4","1","19","0","0","30","15","Subway"
"Ham, Egg White & Cheese, 6-inch Omelet Sandwich (with Egg White)","203","350","8","3","0.2","15","1110","46","4","1","23","0","0","30","15","Subway"
"Mega Melt, 6-inch Omelet Sandwich (with Egg White)","240","610","34","13","0.2","55","1570","45","4","2","30","2","2","30","20","Subway"
"Sausage, Egg White & Cheese, 6-inch Omelet Sandwich (with Egg White)","231","560","31","12","0.2","45","1430","45","4","1","27","2","2","30","20","Subway"
"Steak, Egg White & Cheese, 6-inch Omelet Sandwich (with Egg White)","217","390","10","4","0.3","35","1230","47","4","2","28","0","0","60","20","Subway"
"Sunrise Subway Melt®, 6-inch Omelet Sandwich (with Egg White)","284","440","12","4.5","0.2","40","1580","50","4","2","32","6","8","30","20","Subway"
"Bacon, Egg & Cheese, 6-inch Omelet Sandwich (with Regular Egg)","186","420","16","6","0.3","240","900","45","5","6","24","8","0","20","20","Subway"
"B.M.T® Melt, 6-inch Omelet Sandwich (with Regular Egg)","229","500","23","9","0.5","260","1440","47","5","7","29","8","0","20","20","Subway"
"Egg & Cheese, 6-inch Omelet Sandwich (with Regular Egg)","177","380","13","5","0.3","235","740","44","5","6","20","8","0","20","20","Subway"
"Ham, Egg & Cheese, 6-inch Omelet Sandwich (with Regular Egg)","206","400","14","5","0.3","240","950","46","5","6","24","8","0","20","20","Subway"
"Mega Melt, 6-inch Omelet Sandwich (with Regular Egg)","242","660","39","15","0.3","280","1410","45","5","7","31","8","2","20","25","Subway"
"Sausage, Egg & Cheese, 6-inch Omelet Sandwich (with Regular Egg)","234","620","37","14","0.3","270","1260","45","5","6","28","8","2","20","25","Subway"
"Steak, Egg & Cheese, 6-inch Omelet Sandwich (with Regular Egg)","220","440","16","6","0.4","256","1070","47","5","7","30","8","0","20","25","Subway"
"Sunrise Subway Melt®, 6-inch Omelet Sandwich (with Regular Egg)","287","490","18","7","0.3","265","1430","50","6","8","33","15","8","20","20","Subway"
"Bacon, Egg White & Cheese, Omelet on 6-inch Flatbread (with Egg White)","191","370","12","4.5","0.2","20","1120","43","2","2","22","0","0","35","15","Subway"
"B.M.T® Melt, Omelet on 6-inch Flatbread (with Egg White)","208","460","16","4.5","0.5","40","1660","56","1","1","23","0","0","65","15","Subway"
"Egg White & Cheese, Omelet on 6-inch Flatbread (with Egg White)","183","330","10","3","0.2","10","960","42","2","2","19","0","0","35","15","Subway"
"Ham, Egg White & Cheese, Omelet on 6-inch Flatbread (with Egg White)","211","360","10","3.5","0.2","15","1170","44","2","2","22","0","0","40","15","Subway"
"Mega Melt, Omelet on 6-inch Flatbread (with Egg White)","248","620","36","14","0.2","55","1630","43","2","3","29","2","2","40","20","Subway"
"Sausage, Egg White & Cheese, Omelet on 6-inch Flatbread (with Egg White)","240","570","33","12","0.2","45","1480","43","2","2","26","2","2","40","20","Subway"
"Steak, Egg White & Cheese, Omelet on 6-inch Flatbread (with Egg White)","225","400","12","4","0.3","35","1290","45","2","3","28","0","0","40","20","Subway"
"Sunrise Subway Melt®, Omelet on 6-inch Flatbread (with Egg White)","292","450","14","5","0.2","40","1650","48","2","4","31","6","8","40","20","Subway"
"Bacon, Egg & Cheese, Omelet on 6-inch Flatbread (with Regular Egg)","194","430","18","7","0.3","240","960","43","3","4","23","8","0","25","20","Subway"
"B.M.T® Melt, Omelet on 6-inch Flatbread (with Regular Egg)","211","510","21","8","0.5","260","1500","56","2","2","24","8","0","25","20","Subway"
"Egg & Cheese, Omelet on 6-inch Flatbread (with Regular Egg)","186","380","15","5","0.3","235","810","42","3","3","20","8","0","25","20","Subway"
"Ham, Egg & Cheese, Omelet on 6-inch Flatbread (with Regular Egg)","214","410","16","6","0.3","240","1020","44","3","3","23","8","0","25","20","Subway"
"Mega Melt, Omelet on 6-inch Flatbread (with Regular Egg)","251","670","42","16","0.3","280","1480","43","3","4","30","8","2","25","25","Subway"
"Sausage, Egg & Cheese, Omelet on 6-inch Flatbread (with Regular Egg)","242","630","39","15","0.3","270","1330","42","3","3","27","8","2","25","25","Subway"
"Steak, Egg & Cheese, Omelet on 6-inch Flatbread (with Regular Egg)","228","450","18","6","0.4","255","1140","44","3","4","29","8","0","25","25","Subway"
"Sunrise Subway Melt®, Omelet on 6-inch Flatbread (with Regular Egg)","295","500","20","7","0.3","265","1490","47","3","5","32","25","8","25","20","Subway"
"Chocolate Chip, Cookies, Desserts & Sides","45","220","10","5","0.1","15","130","30","1","18","2","6","0","0","6","Subway"
"Chocolate Chunk, Cookies, Desserts & Sides","45","220","10","5","0","10","100","30","<1","17","2","0","0","0","6","Subway"
"Double Chocolate Chip, Cookies, Desserts & Sides","45","210","9","5","0.1","15","130","30","1","20","2","6","0","2","4","Subway"
"M & M®, Cookies, Desserts & Sides","45","210","10","5","0","15","100","32","<1","18","2","0","0","2","6","Subway"
"Oatmeal Raisin, Cookies, Desserts & Sides","45","200","8","4","0","15","130","30","1","16","3","0","0","2","6","Subway"
"Peanut Butter, Cookies, Desserts & Sides","45","220","12","5","0.1","10","130","26","1","16","4","4","0","2","6","Subway"
"Raspberry Cheesecake, Cookies, Desserts & Sides","45","200","9","4.5","0.1","15","120","29","0","16","2","6","0","2","4","Subway"
"Sugar, Cookies, Desserts & Sides","45","220","12","6","0.1","15","130","28","<1","14","2","0","0","0","4","Subway"
"White Chip Macadamia Nut, Cookies, Desserts & Sides","45","220","11","5","0.1","15","130","29","<1","18","2","6","0","2","4","Subway"
"Hash Browns, four pieces, Cookies, Desserts & Sides","74","150","9","1","0","0","440","17","2","0","1","0","8","0","2","Subway"
"Yogurt Parfait (with granola), Cookies, Desserts & Sides","175","200","6","2.5","0","15","80","27","1","23","9","4","2","25","2","Subway"
"Coca Cola®, no ice, Beverages","21","260","0","0","0","0","15","71","0","71","0","0","0","0","0","Subway"
"Diet Coke®, no ice, Beverages","21","0","0","0","0","0","25","0","0","0","0","0","0","0","0","Subway"
"Beef Chili, Soup** (8 oz/255 ml bowl)","255","350","24","10","1.5","80","730","17","4","7","15","40","4","8","15","Subway"
"Chicken & Dumpling, Soup** (8 oz/255 ml bowl)","255","150","4.5","2","0","35","740","20","3","3","8","20","10","4","6","Subway"
"Chicken Noodle, Soup** (8 oz/255 ml bowl)","255","100","1","0.5","0","15","720","12","1","1","10","35","4","4","4","Subway"
"Clam Chowder, Soup** (8 oz/255 ml bowl)","255","200","11","7","0.5","30","850","20","2","3","5","0","4","4","4","Subway"
"Cream of Broccoli, Soup** (8 oz/255 ml bowl)","255","140","7","4","0.5","20","790","16","3","6","4","6","35","10","2","Subway"
"Cream of Mushroom, Soup** (8 oz/255 ml bowl)","255","150","8","4","0.5","25","700","14","1","5","5","0","4","10","2","Subway"
"Creamy Wild and Brown Rice, Soup** (8 oz/255 ml bowl)","255","180","10","4","0.5","35","820","16","2","4","6","20","4","8","2","Subway"
"Loaded Potato with bacon, Soup** (8 oz/255 ml bowl)","255","220","11","6","0.5","40","840","23","2","4","7","0","10","8","4","Subway"
"Minestrone, Soup** (8 oz/255 ml bowl)","255","90","1","0.5","0","<5","740","17","5","4","4","40","4","6","6","Subway"
"Poblano Corn Chowder, Soup** (8 oz/255 ml bowl)","255","150","7","4","0.5","20","560","18","2","7","5","4","4","10","4","Subway"
"Vegetable Beef, Soup** (8 oz/255 ml bowl)","255","90","2","0.5","0","5","730","15","3","3","4","70","4","4","4","Subway"
"6-inch Italian (White) Bread, Breads","71","200","2","0.5","0","0","270","38","1","5","7","0","0","2","12","Subway"
"6-inch 9-Grain Wheat Bread, Breads","78","210","2","0.5","0","0","270","40","4","5","8","0","0","4","15","Subway"
"6-inch Parmesan Oregano Bread, Breads","75","220","2.5","1","0","0","420","40","2","5","8","0","0","4","15","Subway"
"6-inch Honey Oat, Breads","89","260","3","0.5","0","0","290","48","5","9","9","0","0","4","15","Subway"
"6-inch Hearty Italian Bread, Breads","75","210","2.5","0.5","0","0","270","41","2","5","7","0","0","2","15","Subway"
"6-inch Monterey Cheddar, Breads","82","240","6","2.5","0.2","10","340","38","2","5","10","2","0","10","15","Subway"
"6-inch Italian Herbs & Cheese, Breads","82","250","5","2.5","0.1","10","470","40","2","5","9","2","0","10","15","Subway"
"6-inch Roasted Garlic, Breads","82","230","2.5","0.5","0","0","1240","45","2","7","8","4","45","4","15","Subway"
"6-inch Flatbread, Breads","87","220","4.5","1","0","0","340","38","2","2","7","0","0","8","15","Subway"
"3-inch Flatbread, Breads","43","110","2","0","0","0","170","19","1","1","4","0","0","5","6","Subway"
"Light Wheat English Muffin, Breads","57","100","1","0","0","0","170","22","5","1","6","0","0","2","6","Subway"
"Mini Italian Bread, Breads","47","130","1.5","0","0","0","180","25","1","3","5","0","0","2","8","Subway"
"Mini Wheat Bread, Breads","52","140","1.5","0","0","0","180","27","3","3","5","0","0","8","8","Subway"
"Wrap, Breads","103","310","8","2.5","0.4","0","610","51","1","0","8","0","0","6","15","Subway"
"Bacon (2 strips), Sandwich Condiments","9","40","3","1","0","10","150","0","0","0","3","0","0","0","0","Subway"
"Chipotle Southwest Sauce, Sandwich Condiments","21","100","10","1.5","0","10","220","1","0","0","0","0","0","0","0","Subway"
"Honey Mustard Sauce, Fat Free, Sandwich Condiments","21","30","0","0","0","0","120","7","0","6","0","0","0","0","0","Subway"
"House Sandwich Sauce, Sandwich Condiments","21","110","12","1.5","0","0","170","1","0","1","0","0","0","0","0","Subway"
"Mustard yellow or deli brown (10 ml), Sandwich Condiments","10","10","0","0","0","0","120","1","0","0","0","0","0","0","0","Subway"
"Light Mayon.-Type Dressing (15 ml), Sandwich Condiments","15","40","5","1","0","5","80","1","0","0","0","0","0","0","0","Subway"
"Mayonnaise (15 ml), Sandwich Condiments","15","110","12","2","0","10","70","0","0","0","0","0","0","0","0","Subway"
"Ranch Dressing, Sandwich Condiments","21","110","12","2","0.2","10","210","1","0","1","0","0","0","0","0","Subway"
"Sweet Onion Sauce, Fat Free, Sandwich Condiments","21","40","0","0","0","0","90","9","0","8","0","0","0","0","0","Subway"
"Banana Peppers (3 rings), Vegetables","4","<5","0","0","0","0","65","0","0","0","0","4","4","0","0","Subway"
"Cucumbers (3 slices), Vegetables","17","<5","0","0","0","0","0","1","0","0","0","0","0","0","0","Subway"
"Green Peppers (3 strips), Vegetables","7","0","0","0","0","0","0","0","0","0","0","0","10","0","0","Subway"
"Jalapeno Peppers (3 rings), Vegetables","4","<5","0","0","0","0","70","0","0","0","0","0","4","0","0","Subway"
"Lettuce, Vegetables","21","<5","0","0","0","0","0","0","0","0","0","0","0","0","0","Subway"
"Onions, Vegetables","14","5","0","0","0","0","0","1","0","0","0","0","0","0","0","Subway"
"Pickles (3 chips), Vegetables","9","0","0","0","0","0","115","0","0","0","0","0","0","0","0","Subway"
"Olives (3 rings), Vegetables","3","<5","0","0","0","0","25","0","0","0","0","0","0","0","0","Subway"
"Tomatoes (3 wheels), Vegetables","34","5","0","0","0","0","0","2","0","0","0","4","10","0","0","Subway"
"Cheddar Cheese Product, Processed, Cheese","11","40","3","2","0.2","10","200","0","0","0","2","0","0","6","0","Subway"
"Feta, Cheese","14","30","2","1.5","0","6","125","0","0","0","2","2","0","2","0","Subway"
"Monterey Cheddar, Shredded, Cheese","14","50","4.5","3","0.2","15","90","0","0","0","3","4","0","10","0","Subway"
"Monterey Jack, Cheese","11","40","3.5","2.5","0.2","10","80","0","0","0","3","0","0","6","0","Subway"
"Mozzarella, Shredded, Cheese","14","40","3","2","0.1","9","100","0","0","0","3","2","0","8","0","Subway"
"Natural Cheddar, Cheese","11","45","3.5","2.5","0.2","10","75","0","0","0","3","0","0","6","0","Subway"
"Swiss, Cheese","14","50","4","3","0.2","10","45","0","0","0","4","0","0","15","0","Subway"
"Chicken Patty, Roasted, Individual Meats","64","80","2","1","0","40","290","3","0","2","13","0","0","0","0","Subway"
"Italian B.M.T.® Meats, Individual Meats","64","180","14","5","0.3","40","930","3","0","1","10","0","0","2","2","Subway"
"Meatball, Individual Meats","139","310","16","6","0.5","35","910","16","3","6","13","30","25","8","9","Subway"
"Roast Beef, Individual Meats","57","60","2","1","0","20","410","2","0","1","8","0","0","0","4","Subway"
"Sausage Patty, Individual Meats","57","240","24","9","0","35","520","1","0","0","7","0","2","0","4","Subway"
"Seafood Sensation, Individual Meats","71","190","16","2","0","15","430","7","0","1","5","2","0","6","1","Subway"
"Steak (no cheese), Individual Meats","71","110","4","1.5","0","40","550","4","0","1","15","0","2","0","8","Subway"
"Subway Club® Meats, Individual Meats","71","70","2","1","0","25","560","4","0","1","10","0","0","2","4","Subway"
"Tuna, Individual Meats","74","240","23","4","0","35","280","0","0","0","12","0","0","0","6","Subway"
"Turkey Breast, Individual Meats","57","60","1.5","0","0","10","480","3","0","1","8","0","0","0","4","Subway"
"Whole Grain Oatmeal","42","160","2.5","0.5","0","0","125","28","4","0","5","0","0","8","10","Starbucks"
"Birthday Cake Pop","43","170","9","5","0","10","85","22","0","18","1","0","0","4","15","Starbucks"
"Chocolate Caramel Pretzel","50","230","9","5","0","10","170","34","4","24","3","0","0","6","6","Starbucks"
"Madeleine Cookie (Packaged)","51","230","11","6","0","70","100","32","1","19","2","10","0","0","6","Starbucks"
"Marshmallow Dream Bar","57","210","4","2.5","0","10","250","43","0","15","1","15","15","2","20","Starbucks"
"Butter Croissant","70","250","14","10","0.5","40","250","25","1","4","3","0","4","2","10","Starbucks"
"Oat Bar","80","360","20","9","0.2","15","160","43","5","12","6","20","0","0","10","Starbucks"
"Double Chocolate Brownie","98","430","25","7","0","100","80","49","3","32","6","10","2","4","25","Starbucks"
"Sesame Bagel","99","280","2","0","0","0","470","56","2","5","10","2","0","2","25","Starbucks"
"Fruit & Oat Cookie","100","430","18","9","0.2","45","200","61","4","34","6","8","2","2","15","Starbucks"
"Peanut Butter Cookie","100","480","28","9","0.3","50","400","48","2","30","10","8","0","2","10","Starbucks"
"Chocolate Chunk Cookie","100","440","21","11","0.1","20","290","61","2","39","6","15","0","2","20","Starbucks"
"Oat Fudge Bar","100","420","20","13","0.2","20","210","56","3","36","6","15","2","6","15","Starbucks"
"White Chocolate Macadamia Cookie","101","480","26","11","0.1","25","310","57","1","37","6","15","0","6","10","Starbucks"
"Ginger Molasses Cookie","101","390","11","4.5","0","20","360","67","1","41","6","15","0","8","20","Starbucks"
"Everything with Cheese Bagel","103","280","2.5","0.5","0.4","5","500","56","2","5","10","2","0","4","35","Starbucks"
"Blueberry Bar","105","380","19","8","0.2","15","200","50","4","22","5","20","4","2","15","Starbucks"
"RF Cinnamon Swirl Coffee Cake ","113","340","9","5","0.1","10","400","62","2","40","4","4","0","8","15","Starbucks"
"Asiago & Cheddar Pretzel","113","360","12","7","0","35","1070","46","2","1","16","10","0","20","20","Starbucks"
"Banana Loaf ","115","430","17","3","0.2","50","260","63","3","35","6","2","6","2","15","Starbucks"
"Lemon Poppyseed Loaf","115","470","22","5","0.3","95","330","63","2","35","5","4","0","4","8","Starbucks"
"Blueberry Muffin ","116","380","18","3","0.2","55","380","50","2","27","5","4","15","2","10","Starbucks"
"Raisin Bran Muffin","116","320","12","2","0.1","45","420","54","6","29","6","2","0","4","15","Starbucks"
"Banana Chocolate Muffin ","116","420","21","6","0.2","50","320","55","2","34","5","2","10","2","15","Starbucks"
"Bacon & Gouda Artisan Breakfast Sandwich","116","350","18","7","0.1","165","820","30","0","0","17","10","15","20","20","Starbucks"
"Multigrain Bagel","117","300","3","0.4","0","0","480","60","6","5","14","2","0","2","25","Starbucks"
